Filename,Graph ID,Nodes
smallworlds_033_n10_p0.1,See JSON,See JSON
smallworlds_034_n10_p0.3,See JSON,See JSON
smallworlds_035_n10_p0.6,See JSON,See JSON
smallworlds_036_n15_p0.1,See JSON,See JSON
smallworlds_037_n15_p0.3,See JSON,See JSON
smallworlds_038_n15_p0.6,See JSON,See JSON
smallworlds_039_n20_p0.1,See JSON,See JSON
smallworlds_040_n20_p0.3,See JSON,See JSON
smallworlds_041_n20_p0.6,See JSON,See JSON
smallworlds_042_n25_p0.1,See JSON,See JSON
smallworlds_043_n25_p0.3,See JSON,See JSON
smallworlds_044_n25_p0.6,See JSON,See JSON
smallworlds_045_n30_p0.1,See JSON,See JSON
smallworlds_046_n30_p0.3,See JSON,See JSON
smallworlds_047_n30_p0.6,See JSON,See JSON
smallworlds_048_n35_p0.1,See JSON,See JSON
smallworlds_049_n35_p0.3,See JSON,See JSON
smallworlds_050_n35_p0.6,See JSON,See JSON
