数据名称,类型,coverage_steps,coverage_time,search_time,search_probability,search_steps
branch2_height2,Tree,4,0.009125256538391113,0.0019388000073377043,0.2551,3
branch2_height3,Tree,5,0.01002044677734375,0.0023268999939318746,0.1055,4
branch2_height4,Tree,6,0.008636689186096192,0.0021465000027092174,0.0464,6
branch2_height5,Tree,7,0.01710221767425537,0.003748500006622635,0.018,8
branch3_height2,Tree,4,0.0046942710876464845,0.001997500003199093,0.0453,4
branch3_height3,Tree,5,0.012107324600219727,0.0032878000056371093,0.0169,7
branch3_height4,Tree,6,0.021704578399658205,0.009925399994244799,0.0062,11
branch3_height5,Tree,7,0.31054048538208007,0.22270870000647847,0.0027,20
branch4_height2,Tree,4,0.008216214179992676,0.0032767000084277242,0.0139,5
branch4_height3,Tree,5,0.053400516510009766,0.025900299995555542,0.0014,10
branch4_height4,Tree,6,0.9270445585250855,0.8234500999969896,0.0008,19
branch5_height2,Tree,4,0.008247995376586914,0.003934099993784912,0.0277,6
branch5_height3,Tree,5,0.1706164836883545,0.14093660000071395,0.0016,13
branch5_height4,Tree,6,3.6684852838516235,4.935766599999624,0.0029,28
size3_density0.0,Grid,4,0.004617881774902344,0.002402300000539981,0,3
size3_density0.2,Grid,4,0.005967378616333008,0.0017580999992787838,0.1224,3
size3_density0.4,Grid,4,0.005013823509216309,0.0026566000015009195,0.013,3
size4_density0.0,Grid,5,0.00744779109954834,0.0016525000100955367,0,4
size4_density0.2,Grid,4,0.0062144756317138675,0.0017392000008840114,0.0034,4
size4_density0.4,Grid,4,0.005952382087707519,0.001800600002752617,0.0135,4
size5_density0.0,Grid,7,0.010540103912353516,0.0024039999989327043,0,5
size5_density0.2,Grid,5,0.01046302318572998,0.0036201000039000064,0,5
size5_density0.4,Grid,5,0.0105027437210083,0.0030338000069605187,0.0258,5
size6_density0.0,Grid,8,0.019138050079345704,0.003091799997491762,0,6
size6_density0.2,Grid,5,0.018225336074829103,0.0055228999990504235,0.0002,6
size6_density0.4,Grid,5,0.0472296953201294,0.017946200008736923,0.006,6
size7_density0.0,Grid,10,0.026475977897644044,0.0038949000008869916,0,7
size7_density0.2,Grid,7,0.02865180969238281,0.007768199997371994,0,7
size7_density0.4,Grid,5,0.01732652187347412,0.0062141000089468434,0.0081,7
size8_density0.0,Grid,11,0.029626846313476562,0.0036481999995885417,0,8
size8_density0.2,Grid,6,0.02201838493347168,0.006800899995141663,0.0009,8
size8_density0.4,Grid,5,0.048338890075683594,0.021777800007839687,0.0014,8
n10_p0.1,SmallWorld,3,0.004540872573852539,0.0024037999974098057,0.0111,4
n10_p0.3,SmallWorld,3,0.004375243186950683,0.002413199996226467,0.0225,4
n10_p0.6,SmallWorld,3,0.004283785820007324,0.002597099999547936,0.0414,4
n15_p0.1,SmallWorld,3,0.005056619644165039,0.0021923000022070482,0.0138,4
n15_p0.3,SmallWorld,4,0.005929279327392578,0.002799100009724498,0.0196,4
n15_p0.6,SmallWorld,4,0.004366326332092285,0.0029094000055920333,0.0125,4
n20_p0.1,SmallWorld,4,0.008301782608032226,0.003744200002984144,0.0042,5
n20_p0.3,SmallWorld,5,0.009320449829101563,0.004083599997102283,0.0011,5
n20_p0.6,SmallWorld,3,0.005473947525024414,0.003306200000224635,0.0096,5
n25_p0.1,SmallWorld,6,0.014878129959106446,0.0028199000080348924,0.0008,5
n25_p0.3,SmallWorld,5,0.010100913047790528,0.002844400005415082,0.0013,5
n25_p0.6,SmallWorld,4,0.0064909934997558595,0.003298800002085045,0.0034,5
n30_p0.1,SmallWorld,5,0.010247278213500976,0.003214800002751872,0.0002,6
n30_p0.3,SmallWorld,4,0.008331704139709472,0.0036252999998396263,0.0091,6
n30_p0.6,SmallWorld,4,0.007904291152954102,0.0032103999983519316,0.0031,6
n35_p0.1,SmallWorld,5,0.017542576789855956,0.005414100000052713,0.0002,6
n35_p0.3,SmallWorld,6,0.023513317108154297,0.006010600001900457,0.0059,6
n35_p0.6,SmallWorld,4,0.012750744819641113,0.0053656999953091145,0.0036,6
height3_glues2,GluedTree,12,0.01850290298461914,0.0024760999949648976,0,6
height3_glues4,GluedTree,8,0.011997413635253907,0.003276699993875809,0.0012,6
height4_glues2,GluedTree,13,0.03770802021026611,0.0036835000064456835,0,8
height4_glues4,GluedTree,10,0.02536468505859375,0.004230999998981133,0.0002,8
height5_glues2,GluedTree,16,0.11381270885467529,0.009060900003532879,0,12
height5_glues4,GluedTree,13,0.07782900333404541,0.010718099991208874,0,12
dim3_perturb0.0,Hypercube,4,0.005557894706726074,0.0016441000043414533,0.1238,3
dim3_perturb0.1,Hypercube,4,0.005761194229125977,0.0015547000075457618,0.1276,3
dim4_perturb0.0,Hypercube,5,0.0070895195007324215,0.0028154000028735027,0,4
dim4_perturb0.1,Hypercube,4,0.005901646614074707,0.0024369000020669773,0.0013,4
dim5_perturb0.0,Hypercube,5,0.010169267654418945,0.0029799000039929524,0.0518,6
dim5_perturb0.1,Hypercube,5,0.010486078262329102,0.0036220000038156286,0.0152,6
dim6_perturb0.0,Hypercube,6,0.02286536693572998,0.00814739998895675,0.001,8
dim6_perturb0.1,Hypercube,5,0.017358875274658202,0.007275900003151037,0.0298,8
