数据名称,类型,coverage_steps,coverage_time,search_probability,search_time,search_steps
branch2_height2,Tree,4,0.007077717781066894,0.9688504823151125,0.004210899991448969,3
branch2_height3,Tree,5,0.007735323905944824,0.9994,0.0030926000035833567,4
branch2_height4,Tree,6,0.009299111366271973,0.9978995799159832,0.05707070000062231,6
branch2_height5,Tree,7,0.015579748153686523,0.9968996899689969,0.006013399994117208,8
branch3_height2,Tree,4,0.005312132835388184,0.9996,0.002910900002461858,4
branch3_height3,Tree,5,0.010672545433044434,0.9669700378361795,0.005239600010099821,7
branch3_height4,Tree,6,0.021328258514404296,0.9809828845961365,0.013098000010359101,11
branch3_height5,Tree,7,0.3239508390426636,0.9407074217951339,0.2363306999905035,20
branch4_height2,Tree,4,0.008418130874633788,0.979750936519186,0.005260299993096851,5
branch4_height3,Tree,5,0.04854073524475098,0.9585853408508457,0.03055740000854712,10
branch4_height4,Tree,6,0.9345079898834229,0.9211100717181167,0.8349480000033509,19
branch5_height2,Tree,4,0.007910537719726562,0.9956987096128839,0.004999999990104698,6
branch5_height3,Tree,5,0.1794111967086792,0.9153773287022419,0.16415710000728723,13
branch5_height4,Tree,6,4.984147644042968,0.9298083820063531,4.935970799997449,28
size3_density0.0,Grid,4,0.005679774284362793,0.9424755494794406,0.002454600005876273,3
size3_density0.2,Grid,4,0.005785846710205078,0.7323503686117706,0.0024843999999575317,3
size3_density0.4,Grid,4,0.004977560043334961,0.9395081109366824,0.0026523999986238778,3
size4_density0.0,Grid,5,0.0076398134231567385,0.9992,0.003525899999658577,4
size4_density0.2,Grid,4,0.006298160552978516,0.9993,0.0037638999929185957,4
size4_density0.4,Grid,4,0.006614542007446289,0.9993,0.0029894000035710633,4
size5_density0.0,Grid,7,0.010741519927978515,0.9737744603590882,0.00595610000891611,5
size5_density0.2,Grid,5,0.01273205280303955,0.9720540758676351,0.004372299998067319,5
size5_density0.4,Grid,5,0.012707376480102539,0.7315716272600834,0.004866699993726797,5
size6_density0.0,Grid,8,0.02207505702972412,0.8976039540131084,0.005573600006755441,6
size6_density0.2,Grid,5,0.019057393074035645,0.8999246744861724,0.008546500001102686,6
size6_density0.4,Grid,5,0.050088000297546384,0.9018470790378007,0.019866700007696636,6
size7_density0.0,Grid,10,0.025347518920898437,0.9546882919412063,0.005360700000892393,7
size7_density0.2,Grid,7,0.02777104377746582,0.956997971602434,0.009369699997478165,7
size7_density0.4,Grid,5,0.019101500511169434,0.9568082733448241,0.00896600000851322,7
size8_density0.0,Grid,11,0.03190093040466309,0.9961,0.006982599996263161,8
size8_density0.2,Grid,6,0.024207520484924316,0.9959,0.009214200006681494,8
size8_density0.4,Grid,5,0.047350311279296876,0.995,0.023793400003341958,8
n10_p0.1,SmallWorld,3,0.0034848928451538088,0.9996999099729919,0.0036748999991687015,4
n10_p0.3,SmallWorld,3,0.003191971778869629,0.9993998799759952,0.003343199990922585,4
n10_p0.6,SmallWorld,3,0.003999972343444824,0.9729454841334418,0.0038868999981787056,4
n15_p0.1,SmallWorld,3,0.0041991472244262695,0.9991999199919992,0.0032955999922705814,4
n15_p0.3,SmallWorld,4,0.004744505882263184,0.9602005012531328,0.0031860000017331913,4
n15_p0.6,SmallWorld,4,0.004731869697570801,0.9991,0.003147099996567704,4
n20_p0.1,SmallWorld,4,0.007944798469543457,0.9789409739799534,0.00594200000341516,5
n20_p0.3,SmallWorld,5,0.011103415489196777,0.9783071464774455,0.005932100000791252,5
n20_p0.6,SmallWorld,3,0.004724240303039551,0.9756789623023916,0.0048454999923706055,5
n25_p0.1,SmallWorld,6,0.01548464298248291,0.9718494601957421,0.00573900000017602,5
n25_p0.3,SmallWorld,5,0.011056661605834961,0.9698619090817457,0.005509100010385737,5
n25_p0.6,SmallWorld,4,0.008785629272460937,0.9742839854780153,0.004642200001399033,5
n30_p0.1,SmallWorld,5,0.009470939636230469,0.9970997099709971,0.0065851999970618635,6
n30_p0.3,SmallWorld,4,0.007995867729187011,0.9976990796318528,0.005087700003059581,6
n30_p0.6,SmallWorld,4,0.008118867874145508,0.9961996199619962,0.00533299999369774,6
n35_p0.1,SmallWorld,5,0.017594408988952637,0.90694399306684,0.007215499994345009,6
n35_p0.3,SmallWorld,6,0.02165508270263672,0.9035334923043572,0.008150199995725416,6
n35_p0.6,SmallWorld,4,0.01228630542755127,0.9001732351667389,0.007283899991307408,6
height3_glues2,GluedTree,12,0.020221853256225587,0.9963985594237695,0.004345699999248609,6
height3_glues4,GluedTree,8,0.010402894020080567,0.9953995399539954,0.0050377999868942425,6
height4_glues2,GluedTree,13,0.039560365676879886,0.9958995899589959,0.005986999996821396,8
height4_glues4,GluedTree,10,0.026818442344665527,0.9960996099609961,0.006856399995740503,8
height5_glues2,GluedTree,16,0.11506340503692628,1.0,0.013734699998167343,12
height5_glues4,GluedTree,13,0.08282406330108642,0.9999,0.01433530000213068,12
dim3_perturb0.0,Hypercube,4,0.006341075897216797,0.8453,0.003844899998512119,3
dim3_perturb0.1,Hypercube,4,0.005731368064880371,0.8422,0.003275700000813231,3
dim4_perturb0.0,Hypercube,5,0.007952547073364258,0.0723,0.003365299999131821,4
dim4_perturb0.1,Hypercube,4,0.0063779354095458984,0.9995,0.0029814000008627772,4
dim5_perturb0.0,Hypercube,5,0.009520864486694336,0.9716,0.005682200004230253,6
dim5_perturb0.1,Hypercube,5,0.010920095443725585,0.9656,0.005236099998001009,6
dim6_perturb0.0,Hypercube,6,0.02508230209350586,0.7645,0.010332799996831454,8
dim6_perturb0.1,Hypercube,5,0.019711637496948244,0.7657,0.010697799996705726,8
